"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1","European",53,"Yes","Male","Right",1,"US",4,4,5,4,5,5,4,3,5,5,5,5,4,5,5,1,5,1,1,1,1,1,1,1,2,3,1,1,4,5,2,1,1,1,1,5,2,5,2,1,4,5,3,5,5,5,4,2,5,5
"2","Other",46,"Yes","Female","Right",1,"US",2,4,3,3,3,3,1,1,1,1,4,3,2,2,3,4,3,2,2,4,1,3,3,2,4,2,2,3,4,3,2,1,3,2,3,5,1,5,2,2,3,3,3,3,2,3,3,1,3,2
"3","Mixed",14,"No","Female","Right",1,"PK",5,5,1,2,5,5,1,1,5,5,1,1,1,5,1,5,1,5,5,5,5,5,5,1,1,1,1,1,5,5,2,1,1,1,1,5,1,5,1,1,4,1,5,5,5,5,5,5,5,5
"4","European",19,"No","Female","Right",1,"RO",2,1,2,2,3,2,3,2,4,1,1,4,2,2,2,5,1,5,4,5,2,1,4,2,3,1,3,2,4,3,3,3,2,5,5,2,1,2,4,3,4,3,5,4,4,4,5,2,5,5
"5","South East Asian",25,"No","Female","Right",2,"US",3,5,3,3,3,5,3,5,3,1,3,3,3,4,3,3,3,3,3,4,5,1,3,1,1,1,1,1,5,5,3,1,1,3,3,5,5,3,3,3,3,5,1,5,3,5,3,1,5,3
"6","Other",31,"Yes","Female","Right",2,"US",1,1,2,2,1,3,2,2,1,1,5,5,2,5,5,4,2,1,5,2,2,4,3,2,3,2,3,1,5,3,4,5,2,3,3,2,1,3,1,3,4,4,1,3,3,1,5,4,5,3
"7","Middle East",20,"Yes","Female","Right",5,"US",5,5,5,5,5,5,5,2,4,5,4,4,4,4,4,2,3,2,2,2,5,1,1,1,1,1,1,1,4,5,4,4,3,3,3,3,3,3,3,3,3,5,5,5,4,5,4,3,3,4
"8","Indian",23,"No","Male","Right",2,"IN",4,3,5,3,5,5,4,3,4,3,5,4,2,4,5,1,5,1,1,1,2,1,1,2,3,3,1,3,4,5,2,2,1,1,2,5,2,5,3,1,3,5,5,5,4,5,5,3,2,5
"9","Middle East",39,"Yes","Female","Both",4,"US",3,5,5,5,5,5,5,4,5,3,4,4,1,3,3,5,1,4,3,3,1,1,1,1,1,1,1,1,5,4,2,3,1,2,1,4,1,4,2,3,3,3,5,3,5,5,5,3,4,5
"10","European",18,"Yes","Female","Right",5,"US",1,2,2,1,2,2,1,2,1,1,1,2,1,2,3,4,3,2,3,4,2,3,1,2,2,2,3,3,3,2,1,2,2,2,3,4,2,4,2,2,4,4,5,4,4,5,4,3,4,4
"11","European",17,"No","Female","Right",1,"IT",1,1,2,1,1,2,1,2,1,1,1,3,1,3,4,5,3,3,4,3,2,2,2,2,1,1,1,2,3,3,3,4,3,4,5,1,3,3,3,3,5,3,5,3,4,5,3,5,4,5
"12","Other",15,"No","Male","Right",1,"IN",3,3,5,3,3,3,2,2,3,3,5,5,3,3,4,3,4,3,2,4,4,2,2,4,5,1,2,1,4,4,3,3,2,3,3,1,3,3,3,2,3,5,4,5,4,1,4,3,4,5
"13","Other",22,"Yes","Female","Right",2,"US",3,3,4,4,4,4,2,3,4,3,3,3,3,3,4,2,2,4,2,3,1,2,1,1,1,1,2,2,5,4,2,2,2,2,3,2,2,5,1,2,3,4,4,4,3,4,3,3,5,4
"14","European",21,"Yes","Female","Right",5,"US",1,3,2,1,1,5,1,1,1,1,1,3,1,2,1,5,3,2,5,3,1,5,1,2,2,3,5,2,4,2,1,2,1,1,3,4,1,4,2,2,3,5,3,3,4,5,4,3,5,4
"15","European",28,"No","Female","Right",2,"US",3,3,3,2,3,4,2,2,3,1,4,4,2,4,2,4,4,2,3,2,1,2,2,2,2,2,2,2,3,4,2,2,2,2,2,4,2,4,2,2,3,4,4,3,4,4,4,2,4,4
"16","European",21,"Yes","Male","Right",5,"US",2,3,2,3,3,5,1,3,4,2,4,4,4,4,5,2,4,2,2,2,4,4,4,4,5,4,5,4,1,2,2,2,2,1,3,4,2,5,2,1,4,5,5,5,5,5,4,4,5,5
"17","Other",19,"Yes","Female","Right",2,"FR",1,3,2,2,2,2,1,2,3,2,2,2,3,2,5,3,5,2,2,3,4,4,3,5,4,5,5,3,1,1,2,3,1,2,4,2,3,5,3,1,5,5,4,5,4,5,5,5,5,4
"18","European",21,"Yes","Female","Right",5,"US",4,5,5,4,5,5,5,3,5,5,1,2,1,2,3,3,3,3,4,2,1,1,2,1,2,1,1,1,5,3,3,4,3,3,5,5,3,3,2,3,3,5,3,3,3,3,5,4,3,3
"19","European",26,"Yes","Female","Both",5,"GB",2,3,4,3,1,2,1,2,1,1,2,2,1,2,5,4,4,2,2,2,2,4,2,4,2,1,2,2,2,3,2,1,1,1,2,4,1,5,1,2,4,5,4,4,4,4,5,3,2,2
"20","European",26,"Yes","Female","Right",1,"US",2,4,3,3,3,3,1,3,3,3,2,4,3,1,3,2,4,2,4,4,1,3,2,2,3,4,3,3,4,4,5,2,1,2,4,5,2,4,4,4,4,4,5,4,2,5,5,3,4,4
"21","Other",19,"No","Female","Right",1,"LT",1,2,2,1,3,2,2,2,3,3,2,4,2,4,2,4,1,5,4,2,4,1,1,1,2,2,1,2,5,3,4,3,2,5,3,2,4,5,5,1,5,3,5,4,4,5,4,3,4,4
"22","South East Asian",29,"No","Female","Right",1,"US",2,3,4,4,4,5,3,2,2,3,5,2,4,3,4,1,4,1,2,2,2,2,3,3,1,4,2,2,2,3,2,3,1,1,2,4,2,5,3,2,5,5,4,5,4,5,5,4,4,4
"23","European",29,"Yes","Female","Right",2,"US",2,3,1,2,2,2,1,3,3,2,3,3,1,2,3,3,2,3,3,3,1,2,1,2,2,2,3,1,4,3,2,2,2,2,2,5,1,4,2,2,4,4,5,3,4,4,3,4,5,3
"24","European",21,"Yes","Male","Left",2,"CA",3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,2,4,2,2,2,1,2,2,2,2,1,2,2,4,3,3,4,1,3,4,2,3,4,2,3,3,4,4,4,4,4,5,2,5,3
"25","European",52,"Yes","Female","Right",1,"US",3,2,4,2,2,3,3,3,4,1,2,4,2,3,4,2,3,2,1,3,1,2,1,1,3,3,3,3,4,4,3,5,2,3,5,1,2,2,4,2,4,3,4,2,4,4,4,4,5,4
"26","European",19,"No","Female","Right",1,"GR",1,3,2,2,2,3,3,4,2,1,1,4,2,3,4,3,5,1,3,3,5,2,1,1,1,3,1,2,5,4,2,1,1,2,5,2,3,5,4,2,3,1,5,5,4,5,5,3,3,5
"27","European",48,"Yes","Male","Right",2,"US",5,1,4,5,5,5,5,5,5,4,3,4,2,5,3,3,2,3,3,2,4,1,4,2,4,2,1,4,4,5,4,5,4,5,5,1,3,3,1,1,4,5,5,5,5,5,4,4,2,5
"28","European",22,"Yes","Male","Right",4,"US",3,3,4,3,2,4,3,2,2,2,2,3,2,3,4,2,3,3,2,2,1,4,1,3,2,2,2,2,4,3,3,3,3,3,2,3,3,3,3,4,2,3,4,3,3,4,3,2,4,3
"29","Mixed",17,"Yes","Female","Right",1,"US",2,2,3,2,2,4,4,1,1,1,1,4,1,1,3,4,1,4,4,4,3,1,5,2,1,1,1,2,2,3,4,5,3,4,5,4,4,1,3,5,4,3,3,5,4,4,3,3,5,5
"30","European",37,"No","Male","Right",3,"DK",3,3,3,3,2,4,4,4,3,2,5,3,2,5,4,3,5,1,2,1,1,2,3,2,3,3,2,2,4,4,2,1,2,2,2,5,4,3,4,2,3,4,4,3,4,4,4,3,4,3
"31","Mixed",19,"Yes","Female","Right",1,"US",4,4,1,1,4,5,3,3,1,1,2,4,1,2,4,4,2,3,4,4,2,1,4,1,2,1,2,2,5,4,5,1,3,5,5,2,3,5,5,3,3,3,5,3,3,5,3,3,3,5
"32","European",22,"Yes","Female","Right",1,"US",2,3,3,2,3,4,4,1,2,2,1,3,1,2,4,2,3,2,3,3,2,3,2,2,3,3,3,2,5,5,3,4,1,3,4,4,3,3,3,3,4,5,5,5,4,4,5,3,5,5
"33","European",25,"Yes","Male","Left",4,"US",4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,2,2,2,2,3,2,2,3,2,2,4,4,2,3,2,3,2,4,2,4,2,2,3,4,2,4,4,4,4,3,4,4
"34","European",20,"Yes","Female","Right",1,"US",5,4,4,5,5,5,5,5,5,3,2,3,2,1,5,4,1,5,4,4,1,1,4,2,1,1,1,1,5,4,4,5,5,4,5,1,5,5,5,5,5,5,4,5,4,5,4,5,5,4
"35","European",15,"Yes","Female","Left",1,"GB",1,2,3,2,3,3,1,1,1,1,3,3,2,3,5,3,2,2,4,4,4,3,3,3,3,1,5,3,3,3,4,5,3,5,5,2,3,1,4,3,2,3,4,3,2,3,3,1,3,3
"36","European",46,"Yes","Female","Left",3,"US",1,4,3,3,3,5,1,2,2,3,2,2,1,1,2,5,2,4,3,5,1,3,1,1,3,2,4,4,5,3,1,2,1,1,4,5,1,5,2,1,5,5,4,3,3,4,5,5,5,3
"37","European",15,"Yes","Male","Right",1,"GB",1,1,2,1,2,4,2,3,4,1,5,4,2,2,4,2,4,2,2,4,1,1,4,1,2,1,2,1,5,1,1,1,1,5,4,4,1,4,4,1,5,2,5,5,5,5,5,5,2,5
"38","European",18,"Yes","Female","Left",2,"US",2,3,3,3,4,5,1,3,1,3,4,4,3,2,3,2,2,3,2,4,1,2,1,2,1,2,2,2,4,5,2,1,2,3,4,4,3,4,2,3,5,5,5,5,4,5,4,4,4,5
"39","European",42,"Yes","Male","Right",3,"US",2,2,2,2,2,3,3,2,2,1,3,4,3,3,3,2,4,1,3,2,4,3,2,3,2,3,3,4,3,2,3,5,3,4,5,1,4,3,4,2,5,5,3,5,5,4,4,5,5,4
"40","European",27,"Yes","Female","Right",1,"US",1,4,2,2,2,4,1,2,2,1,3,4,1,3,2,2,3,2,3,2,1,2,2,2,2,2,1,2,4,3,2,2,1,2,1,4,2,4,2,3,4,4,4,4,3,4,4,4,4,4
"41","Mixed",17,"Yes","Male","Right",1,"US",5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,1,5,5,1,5,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
"42","Native American",17,"Yes","Female","Right",5,"US",4,4,3,3,3,4,5,3,5,1,1,2,1,4,1,5,1,3,5,2,2,1,2,2,2,1,2,1,3,3,2,1,2,5,1,4,1,5,2,3,2,4,1,5,3,5,4,4,5,2
"43","North African and Other",17,"Yes","Female","Right",5,"US",2,3,2,2,2,4,2,2,3,1,3,3,2,3,2,3,2,2,4,3,3,3,2,2,3,2,3,3,3,3,2,2,1,3,4,3,2,3,4,3,3,3,4,3,4,4,4,2,4,5
